Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.6519944979367263,0.5934426229508196,0.32149200710479575,0.41705069124423966,0.6794140337657212
Decision Tree,0.6485557083906465,0.6262135922330098,0.2291296625222025,0.33550065019505854,0.6619291394306197
Random Forest,0.6506189821182944,0.5938566552901023,0.30905861456483125,0.40654205607476634,0.6721537458660016
Gradient Boosting,0.6471801925722146,0.5702247191011236,0.3605683836589698,0.44178454842219805,0.6791488996936008
Support Vector Machine,0.640990371389271,0.5810276679841897,0.261101243339254,0.3602941176470588,0.6508333781868417
