Model,FPR Difference,FNR Difference,TPR Difference,TNR Difference,Selection Rate Difference,Training Method
Logistic Regression,0.11209888602543851,-0.2680924246206763,0.2680924246206763,-0.1120988860254385,0.18097494450361845,Original
Random Forest,0.14420359132097432,-0.24896674156056697,0.24896674156056697,-0.14420359132097427,0.19352956986571368,Original
Gradient Boosting,0.13977159364868236,-0.25011788854678096,0.25011788854678096,-0.1397715936486823,0.1920264391729795,Original
Logistic Regression,0.009949912710948527,0.017294943274805186,-0.01729494327480513,-0.009949912710948583,0.010199388793214997,Reweighed
Random Forest,0.07687671460636794,-0.1291226318271338,0.1291226318271338,-0.07687671460636791,0.10542819315727127,Reweighed
Gradient Boosting,0.039435946462715116,-0.10332584394330258,0.10332584394330252,-0.03943594646271509,0.07545716077525705,Reweighed
