Model Type,Training Method,Accuracy,Precision,Recall,F1-score,ROC-AUC,FPR Difference,FNR Difference,Selection Rate Difference,Abs FPR Difference,Abs FNR Difference,Abs Selection Rate Difference,Fairness Gap Score
Logistic Regression,Original,0.6519944979367263,0.5934426229508196,0.3214920071047957,0.4170506912442396,0.6794140337657212,0.1120988860254385,-0.2680924246206763,0.1809749445036184,0.1120988860254385,0.2680924246206763,0.1809749445036184,0.18705541838324438
Random Forest,Original,0.6506189821182944,0.5938566552901023,0.3090586145648312,0.4065420560747663,0.6721537458660016,0.1442035913209743,-0.2489667415605669,0.1935295698657136,0.1442035913209743,0.2489667415605669,0.1935295698657136,0.19556663424908494
Gradient Boosting,Original,0.6471801925722146,0.5702247191011236,0.3605683836589698,0.441784548422198,0.6791488996936008,0.1397715936486823,-0.2501178885467809,0.1920264391729795,0.1397715936486823,0.2501178885467809,0.1920264391729795,0.19397197378948092
Logistic Regression,Reweighed,0.6464924346629987,0.5853658536585366,0.2984014209591474,0.3952941176470588,0.6759214405750817,0.0099499127109485,0.0172949432748051,0.0101993887932149,0.0099499127109485,0.0172949432748051,0.0101993887932149,0.012481414926322834
Random Forest,Reweighed,0.6437414030261348,0.5862068965517241,0.2717584369449378,0.3713592233009709,0.6713892427332331,0.0768767146063679,-0.1291226318271338,0.1054281931572712,0.0768767146063679,0.1291226318271338,0.1054281931572712,0.10380917986359096
Gradient Boosting,Reweighed,0.656121045392022,0.5963302752293578,0.3463587921847247,0.4382022471910112,0.677746479996332,0.0394359464627151,-0.1033258439433025,0.075457160775257,0.0394359464627151,0.1033258439433025,0.075457160775257,0.0727396503937582
