Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,FPR Difference,FNR Difference,TPR Difference,TNR Difference,Selection Rate Difference,Statistical Parity Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
Logistic Regression,0.6519944979367263,0.5934426229508196,0.3214920071047957,0.4170506912442396,0.6794140337657212,0.11209888602543851,-0.2680924246206763,0.2680924246206763,-0.1120988860254385,0.18097494450361845,-0.1809749445036185,0.7991142561010914,-0.1120988860254385,-0.1900956553230574,0.1459811282304445
Decision Tree,0.6485557083906465,0.6262135922330098,0.2291296625222025,0.3355006501950585,0.6619291394306197,0.054638789591819774,-0.11820753931929762,0.11820753931929767,-0.05463878959181978,0.08698249002060585,-0.08698249002060576,0.9045726080356461,-0.05463878959181978,-0.0864231644555587,0.11265993611619864
Random Forest,0.6506189821182944,0.5938566552901023,0.3090586145648312,0.4065420560747663,0.6721537458660016,0.14420359132097432,-0.24896674156056697,0.24896674156056697,-0.14420359132097427,0.19352956986571368,-0.19352956986571368,0.7889107973472428,-0.14420359132097427,-0.19658516644077062,0.1424719646863212
Gradient Boosting,0.6471801925722146,0.5702247191011236,0.3605683836589698,0.441784548422198,0.6791488996936008,0.13977159364868236,-0.25011788854678096,0.25011788854678096,-0.1397715936486823,0.1920264391729795,-0.19202643917297946,0.7799291315766057,-0.1397715936486823,-0.19494474109773163,0.16735969839176554
Support Vector Machine,0.640990371389271,0.5810276679841897,0.261101243339254,0.3602941176470588,0.6508333781868417,0.12860586914955524,-0.21423816260297912,0.2142381626029791,-0.1286058691495553,0.16879859044168152,-0.16879859044168155,0.8183405645722855,-0.1286058691495553,-0.1714220158762672,0.13366098287926462
