Model Type,Training Method,Accuracy,Precision,Recall,F1-score,ROC-AUC,FPR Difference,FNR Difference,Selection Rate Difference,Abs FPR Difference,Abs FNR Difference,Abs Selection Rate Difference
Logistic Regression,Original,0.6519944979367263,0.5934426229508196,0.3214920071047957,0.4170506912442396,0.6794140337657212,0.11209888602543851,-0.2680924246206763,0.18097494450361845,0.11209888602543851,0.2680924246206763,0.18097494450361845
Random Forest,Original,0.6506189821182944,0.5938566552901023,0.3090586145648312,0.4065420560747663,0.6721537458660016,0.14420359132097432,-0.24896674156056697,0.19352956986571368,0.14420359132097432,0.24896674156056697,0.19352956986571368
Gradient Boosting,Original,0.6471801925722146,0.5702247191011236,0.3605683836589698,0.441784548422198,0.6791488996936008,0.13977159364868236,-0.25011788854678096,0.1920264391729795,0.13977159364868236,0.25011788854678096,0.1920264391729795
Logistic Regression,Reweighed,0.6464924346629987,0.5853658536585366,0.2984014209591474,0.3952941176470588,0.6759214405750817,0.009949912710948527,0.017294943274805186,0.010199388793214997,0.009949912710948527,0.017294943274805186,0.010199388793214997
Random Forest,Reweighed,0.6437414030261348,0.5862068965517241,0.2717584369449378,0.3713592233009709,0.6713892427332331,0.07687671460636794,-0.1291226318271338,0.10542819315727127,0.07687671460636794,0.1291226318271338,0.10542819315727127
Gradient Boosting,Reweighed,0.656121045392022,0.5963302752293578,0.3463587921847247,0.4382022471910112,0.677746479996332,0.039435946462715116,-0.10332584394330258,0.07545716077525705,0.039435946462715116,0.10332584394330258,0.07545716077525705
