Model,Statistical Parity Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
Logistic Regression,-0.1809749445036185,0.7991142561010914,-0.1120988860254385,-0.1900956553230574,0.1459811282304445
Decision Tree,-0.08698249002060576,0.9045726080356461,-0.05463878959181978,-0.0864231644555587,0.11265993611619864
Random Forest,-0.19352956986571368,0.7889107973472428,-0.14420359132097427,-0.19658516644077062,0.1424719646863212
Gradient Boosting,-0.19202643917297946,0.7799291315766057,-0.1397715936486823,-0.19494474109773163,0.16735969839176554
Support Vector Machine,-0.16879859044168155,0.8183405645722855,-0.1286058691495553,-0.1714220158762672,0.13366098287926462
