Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Tuned Logistic Regression,0.6519944979367263,0.5934426229508196,0.32149200710479575,0.41705069124423966,0.6794140337657212
Tuned Decision Tree,0.6430536451169189,0.5635838150289018,0.3463587921847247,0.429042904290429,0.6412945320582975
Tuned Random Forest,0.6327372764786795,0.5420289855072464,0.3321492007104796,0.4118942731277533,0.6544057109480437
Tuned Gradient Boosting,0.6478679504814305,0.5706371191135734,0.36589698046181174,0.4458874458874459,0.6764796175690196
