Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,Model Type,Training Method
Logistic Regression,0.6519944979367263,0.5934426229508196,0.3214920071047957,0.4170506912442396,0.6794140337657212,Logistic Regression,Original
Random Forest,0.6506189821182944,0.5938566552901023,0.3090586145648312,0.4065420560747663,0.6721537458660016,Random Forest,Original
Gradient Boosting,0.6471801925722146,0.5702247191011236,0.3605683836589698,0.441784548422198,0.6791488996936008,Gradient Boosting,Original
Reweighed Logistic Regression,0.6464924346629987,0.5853658536585366,0.2984014209591474,0.3952941176470588,0.6759214405750817,Logistic Regression,Reweighed
Reweighed Random Forest,0.6437414030261348,0.5862068965517241,0.2717584369449378,0.3713592233009709,0.6713892427332331,Random Forest,Reweighed
Reweighed Gradient Boosting,0.656121045392022,0.5963302752293578,0.3463587921847247,0.4382022471910112,0.677746479996332,Gradient Boosting,Reweighed
