Model,FPR Difference,FNR Difference,TPR Difference,TNR Difference,Selection Rate Difference
Logistic Regression,0.11209888602543851,-0.2680924246206763,0.2680924246206763,-0.1120988860254385,0.18097494450361845
Decision Tree,0.054638789591819774,-0.11820753931929762,0.11820753931929767,-0.05463878959181978,0.08698249002060585
Random Forest,0.14420359132097432,-0.24896674156056697,0.24896674156056697,-0.14420359132097427,0.19352956986571368
Gradient Boosting,0.13977159364868236,-0.25011788854678096,0.25011788854678096,-0.1397715936486823,0.1920264391729795
Support Vector Machine,0.12860586914955524,-0.21423816260297912,0.2142381626029791,-0.1286058691495553,0.16879859044168152
