Model Type,Training Method,Accuracy,F1-score,ROC-AUC,FPR Difference,FNR Difference,Selection Rate Difference,Fairness Gap Score
Logistic Regression,Reweighed,0.6464924346629987,0.3952941176470588,0.6759214405750817,0.0099499127109485,0.0172949432748051,0.0101993887932149,0.012481414926322834
Gradient Boosting,Reweighed,0.656121045392022,0.4382022471910112,0.677746479996332,0.0394359464627151,-0.1033258439433025,0.075457160775257,0.0727396503937582
Random Forest,Reweighed,0.6437414030261348,0.3713592233009709,0.6713892427332331,0.0768767146063679,-0.1291226318271338,0.1054281931572712,0.10380917986359096
Logistic Regression,Original,0.6519944979367263,0.4170506912442396,0.6794140337657212,0.1120988860254385,-0.2680924246206763,0.1809749445036184,0.18705541838324438
Gradient Boosting,Original,0.6471801925722146,0.441784548422198,0.6791488996936008,0.1397715936486823,-0.2501178885467809,0.1920264391729795,0.19397197378948092
Random Forest,Original,0.6506189821182944,0.4065420560747663,0.6721537458660016,0.1442035913209743,-0.2489667415605669,0.1935295698657136,0.19556663424908494
