Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,Accuracy Rank,F1 Rank,ROC-AUC Rank,Average Performance Rank
Logistic Regression,0.655433287482806,0.6107142857142858,0.3037300177619893,0.4056939501779359,0.6802134229606106,1.0,4.0,1.0,2.0
Gradient Boosting,0.6499312242090785,0.5771428571428572,0.3587921847246891,0.4424972617743702,0.6759383852338263,3.0,1.0,2.0,2.0
Decision Tree,0.6519944979367263,0.5959595959595959,0.3143872113676731,0.4116279069767442,0.6696927833695153,2.0,3.0,3.0,2.6666666666666665
Random Forest,0.6430536451169189,0.5662650602409639,0.3339253996447602,0.4201117318435754,0.6689322672152749,4.0,2.0,4.0,3.3333333333333335
Support Vector Machine,0.6341127922971114,0.5551601423487544,0.2770870337477797,0.3696682464454976,0.6423829771964763,5.0,5.0,5.0,5.0
