Model Type,Training Method,Accuracy,Precision,Recall,F1-score,ROC-AUC,FPR Difference,FNR Difference,Selection Rate Difference,Abs FPR Difference,Abs FNR Difference,Abs Selection Rate Difference
Logistic Regression,Original,0.655433287482806,0.6107142857142858,0.3037300177619893,0.4056939501779359,0.6802134229606106,0.11119482084961343,-0.24857840281822974,0.17311685596822518,0.11119482084961343,0.24857840281822974,0.17311685596822518
Random Forest,Original,0.6430536451169189,0.5662650602409639,0.3339253996447602,0.4201117318435754,0.6689322672152749,0.14571036661401612,-0.2794097251116474,0.20555660630916708,0.14571036661401612,0.2794097251116474,0.20555660630916708
Gradient Boosting,Original,0.6499312242090785,0.5771428571428572,0.3587921847246891,0.4424972617743702,0.6759383852338263,0.14872911297697233,-0.2786191783861751,0.2084354499935296,0.14872911297697233,0.2786191783861751,0.2084354499935296
Logistic Regression,Reweighed,0.6478679504814305,0.601593625498008,0.2682060390763766,0.371007371007371,0.6785528464036458,0.00602710117216726,-0.029957560123158866,0.02470509770349502,0.00602710117216726,0.029957560123158866,0.02470509770349502
Random Forest,Reweighed,0.6423658872077029,0.5704918032786885,0.3090586145648312,0.4009216589861751,0.6678797048838493,0.04215333776706294,-0.11622423788521818,0.07965796310859372,0.04215333776706294,0.11622423788521818,0.07965796310859372
Gradient Boosting,Reweighed,0.6533700137551581,0.5960912052117264,0.325044404973357,0.4206896551724138,0.6769251624195378,0.024139579349904405,-0.07053895869740101,0.052959972923738496,0.024139579349904405,0.07053895869740101,0.052959972923738496
