Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,Model Type,Training Method
Logistic Regression,0.655433287482806,0.6107142857142858,0.3037300177619893,0.4056939501779359,0.6802134229606106,Logistic Regression,Original
Random Forest,0.6430536451169189,0.5662650602409639,0.3339253996447602,0.4201117318435754,0.6689322672152749,Random Forest,Original
Gradient Boosting,0.6499312242090785,0.5771428571428572,0.3587921847246891,0.4424972617743702,0.6759383852338263,Gradient Boosting,Original
Reweighed Logistic Regression,0.6478679504814305,0.601593625498008,0.2682060390763766,0.371007371007371,0.6785528464036458,Logistic Regression,Reweighed
Reweighed Random Forest,0.6423658872077029,0.5704918032786885,0.3090586145648312,0.4009216589861751,0.6678797048838493,Random Forest,Reweighed
Reweighed Gradient Boosting,0.6533700137551581,0.5960912052117264,0.325044404973357,0.4206896551724138,0.6769251624195378,Gradient Boosting,Reweighed
