Model Type,Training Method,Accuracy,Precision,Recall,F1-score,ROC-AUC,FPR Difference,FNR Difference,Selection Rate Difference,Abs FPR Difference,Abs FNR Difference,Abs Selection Rate Difference,Fairness Gap Score,Accuracy Rank,F1 Rank,ROC-AUC Rank,Fairness Rank,Average Final Rank
Gradient Boosting,Reweighed,0.6533700137551581,0.5960912052117264,0.325044404973357,0.4206896551724138,0.6769251624195378,0.0241395793499044,-0.070538958697401,0.0529599729237384,0.0241395793499044,0.070538958697401,0.0529599729237384,0.04921283699034793,2.0,2.0,3.0,2.0,2.25
Logistic Regression,Original,0.655433287482806,0.6107142857142858,0.3037300177619893,0.4056939501779359,0.6802134229606106,0.1111948208496134,-0.2485784028182297,0.1731168559682251,0.1111948208496134,0.2485784028182297,0.1731168559682251,0.17763002654535606,1.0,4.0,1.0,4.0,2.5
Logistic Regression,Reweighed,0.6478679504814305,0.601593625498008,0.2682060390763766,0.371007371007371,0.6785528464036458,0.0060271011721672,-0.0299575601231588,0.024705097703495,0.0060271011721672,0.0299575601231588,0.024705097703495,0.020229919666273667,4.0,6.0,2.0,1.0,3.25
Gradient Boosting,Original,0.6499312242090785,0.5771428571428572,0.3587921847246891,0.4424972617743702,0.6759383852338263,0.1487291129769723,-0.2786191783861751,0.2084354499935296,0.1487291129769723,0.2786191783861751,0.2084354499935296,0.211927913785559,3.0,1.0,4.0,6.0,3.5
Random Forest,Original,0.6430536451169189,0.5662650602409639,0.3339253996447602,0.4201117318435754,0.6689322672152749,0.1457103666140161,-0.2794097251116474,0.205556606309167,0.1457103666140161,0.2794097251116474,0.205556606309167,0.21022556601161016,5.0,3.0,5.0,5.0,4.5
Random Forest,Reweighed,0.6423658872077029,0.5704918032786885,0.3090586145648312,0.4009216589861751,0.6678797048838493,0.0421533377670629,-0.1162242378852181,0.0796579631085937,0.0421533377670629,0.1162242378852181,0.0796579631085937,0.07934517958695823,6.0,5.0,6.0,3.0,5.0
