Model,Statistical Parity Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
Logistic Regression,-0.17311685596822524,0.8104437526704511,-0.11119482084961341,-0.17988661183392157,0.13501288699283015
Decision Tree,-0.1343440477020018,0.8469669617910665,-0.08130351650178724,-0.13799995941036214,0.14310433444426698
Random Forest,-0.20555660630916706,0.7709280422787389,-0.14571036661401615,-0.21256004586283178,0.16107529923576167
Gradient Boosting,-0.2084354499935296,0.7649380653765584,-0.14872911297697233,-0.21367414568157372,0.16350409169796792
Support Vector Machine,-0.17424171536080113,0.8092120752347817,-0.12789924349488735,-0.17945959373157722,0.1477473233430974
