Model,FPR Difference,FNR Difference,TPR Difference,TNR Difference,Selection Rate Difference,Training Method
Logistic Regression,0.11119482084961343,-0.24857840281822974,0.2485784028182297,-0.11119482084961341,0.17311685596822518,Original
Random Forest,0.14571036661401612,-0.2794097251116474,0.27940972511164736,-0.14571036661401615,0.20555660630916708,Original
Gradient Boosting,0.14872911297697233,-0.2786191783861751,0.2786191783861751,-0.14872911297697233,0.2084354499935296,Original
Logistic Regression,0.00602710117216726,-0.029957560123158866,0.02995756012315884,-0.006027101172167204,0.02470509770349502,Reweighed
Random Forest,0.04215333776706294,-0.11622423788521818,0.11622423788521816,-0.04215333776706287,0.07965796310859372,Reweighed
Gradient Boosting,0.024139579349904405,-0.07053895869740101,0.0705389586974009,-0.024139579349904405,0.052959972923738496,Reweighed
