Model,FPR Difference,FNR Difference,TPR Difference,TNR Difference,Selection Rate Difference
Logistic Regression,0.11119482084961343,-0.24857840281822974,0.2485784028182297,-0.11119482084961341,0.17311685596822518
Decision Tree,0.08130351650178735,-0.19469640231893703,0.19469640231893703,-0.08130351650178724,0.1343440477020018
Random Forest,0.14571036661401612,-0.2794097251116474,0.27940972511164736,-0.14571036661401615,0.20555660630916708
Gradient Boosting,0.14872911297697233,-0.2786191783861751,0.2786191783861751,-0.14872911297697233,0.2084354499935296
Support Vector Machine,0.12789924349488735,-0.23101994396826708,0.2310199439682672,-0.12789924349488735,0.17424171536080113
