Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.655433287482806,0.6107142857142858,0.3037300177619893,0.40569395017793597,0.6802134229606106
Decision Tree,0.6519944979367263,0.5959595959595959,0.31438721136767317,0.4116279069767442,0.6696927833695153
Random Forest,0.6430536451169189,0.5662650602409639,0.3339253996447602,0.4201117318435754,0.6689322672152749
Gradient Boosting,0.6499312242090785,0.5771428571428572,0.35879218472468916,0.4424972617743702,0.6759383852338263
Support Vector Machine,0.6341127922971114,0.5551601423487544,0.27708703374777977,0.3696682464454976,0.6423829771964763
