Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,FPR Difference,FNR Difference,TPR Difference,TNR Difference,Selection Rate Difference,Statistical Parity Difference,Disparate Impact,Equal Opportunity Difference,Average Odds Difference,Theil Index
Logistic Regression,0.655433287482806,0.6107142857142858,0.3037300177619893,0.4056939501779359,0.6802134229606106,0.11119482084961343,-0.24857840281822974,0.2485784028182297,-0.11119482084961341,0.17311685596822518,-0.17311685596822524,0.8104437526704511,-0.11119482084961341,-0.17988661183392157,0.13501288699283015
Decision Tree,0.6519944979367263,0.5959595959595959,0.3143872113676731,0.4116279069767442,0.6696927833695153,0.08130351650178735,-0.19469640231893703,0.19469640231893703,-0.08130351650178724,0.1343440477020018,-0.1343440477020018,0.8469669617910665,-0.08130351650178724,-0.13799995941036214,0.14310433444426698
Random Forest,0.6430536451169189,0.5662650602409639,0.3339253996447602,0.4201117318435754,0.6689322672152749,0.14571036661401612,-0.2794097251116474,0.27940972511164736,-0.14571036661401615,0.20555660630916708,-0.20555660630916706,0.7709280422787389,-0.14571036661401615,-0.21256004586283178,0.16107529923576167
Gradient Boosting,0.6499312242090785,0.5771428571428572,0.3587921847246891,0.4424972617743702,0.6759383852338263,0.14872911297697233,-0.2786191783861751,0.2786191783861751,-0.14872911297697233,0.2084354499935296,-0.2084354499935296,0.7649380653765584,-0.14872911297697233,-0.21367414568157372,0.16350409169796792
Support Vector Machine,0.6341127922971114,0.5551601423487544,0.2770870337477797,0.3696682464454976,0.6423829771964763,0.12789924349488735,-0.23101994396826708,0.2310199439682672,-0.12789924349488735,0.17424171536080113,-0.17424171536080113,0.8092120752347817,-0.12789924349488735,-0.17945959373157722,0.1477473233430974
