Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Tuned Logistic Regression,0.655433287482806,0.6107142857142858,0.3037300177619893,0.40569395017793597,0.6802134229606106
Tuned Decision Tree,0.6237964236588721,0.524390243902439,0.30550621669627,0.38608305274971944,0.647640805130444
Tuned Random Forest,0.640302613480055,0.554945054945055,0.35879218472468916,0.43581445523193096,0.6429590955937907
Tuned Gradient Boosting,0.6513067400275103,0.5773480662983426,0.37122557726465366,0.4518918918918919,0.6767886084049494
